order_id,user_id,item_id,item_name,category,price
1000,u1,1,Lay's Classic Salted Chips,snacks,20
1000,u1,10,Hide & Seek Biscuits,snacks,30
1000,u1,9,Good Day Cashew Cookies,snacks,30
1001,u1,33,Maaza 250ml,drinks,20
1001,u1,87,Polo Mint (Roll),sweets,10
1001,u1,4,Haldiram's Aloo Bhujia,snacks,30
1002,u1,2,Kurkure Masala Munch,snacks,20
1002,u1,4,Haldiram's Aloo Bhujia,snacks,30
1002,u1,9,Good Day Cashew Cookies,snacks,30
1002,u1,28,Red Bull 250ml,drinks,125
1002,u1,25,Coca-Cola 250ml Can,drinks,40
1002,u1,36,Paper Boat Aam Panna,drinks,30
1003,u1,16,KitKat 4 Finger,sweets,40
1003,u1,18,Munch Chocolate,sweets,10
1003,u1,11,Oreo Original,snacks,20
1003,u1,86,Center Fresh Gum (6 pcs),sweets,10
1003,u1,45,Maggi 2-Minute Noodles,instant,14
1003,u1,6,Pringles Original (Small),snacks,99
1003,u1,17,5 Star Chocolate,sweets,20
1004,u1,6,Pringles Original (Small),snacks,99
1004,u1,99,Roasted Peanuts 200g,snacks,40
1004,u1,13,Dark Fantasy Choco Fills,snacks,40
1004,u1,4,Haldiram's Aloo Bhujia,snacks,30
1004,u1,4,Haldiram's Aloo Bhujia,snacks,30
1005,u1,28,Red Bull 250ml,drinks,125
1005,u1,52,Haldiram's Dal Makhani Ready,instant,85
1005,u1,38,Amul Processed Cheese Slice (10 pcs),dairy,110
1005,u1,23,Milkybar (Small),sweets,20
1005,u1,100,Mixed Nuts 100g,snacks,99
1006,u1,3,Bingo Mad Angles,snacks,20
1006,u1,11,Oreo Original,snacks,20
1006,u1,30,Tropicana Orange 200ml,drinks,30
1006,u1,87,Polo Mint (Roll),sweets,10
1006,u1,14,Sunfeast Mom's Magic,snacks,20
1006,u1,7,Parle-G Biscuits,snacks,10
1007,u1,2,Kurkure Masala Munch,snacks,20
1007,u1,9,Good Day Cashew Cookies,snacks,30
1007,u1,11,Oreo Original,snacks,20
1008,u1,85,Mentos Mint Roll,sweets,10
1008,u1,86,Center Fresh Gum (6 pcs),sweets,10
1008,u1,14,Sunfeast Mom's Magic,snacks,20
1009,u1,30,Tropicana Orange 200ml,drinks,30
1009,u1,14,Sunfeast Mom's Magic,snacks,20
1009,u1,14,Sunfeast Mom's Magic,snacks,20
1009,u1,8,Bourbon Biscuits,snacks,20
1009,u1,10,Hide & Seek Biscuits,snacks,30
1009,u1,90,Coconut Water 200ml,drinks,30
1010,u1,28,Red Bull 250ml,drinks,125
1010,u1,7,Parle-G Biscuits,snacks,10
1010,u1,38,Amul Processed Cheese Slice (10 pcs),dairy,110
1011,u1,19,Eclairs Toffee (10 pcs),sweets,10
1011,u1,10,Hide & Seek Biscuits,snacks,30
1011,u1,89,Lassi Pouch 200ml,drinks,20
1011,u1,34,Limca 250ml Can,drinks,40
1012,u1,34,Limca 250ml Can,drinks,40
1012,u1,84,Cadbury Perk (3 pack),sweets,30
1012,u1,48,Top Ramen Curry Noodles,instant,14
1012,u1,9,Good Day Cashew Cookies,snacks,30
1013,u1,52,Haldiram's Dal Makhani Ready,instant,85
1013,u1,15,Dairy Milk Silk (60g),sweets,99
1013,u1,3,Bingo Mad Angles,snacks,20
1014,u1,86,Center Fresh Gum (6 pcs),sweets,10
1014,u1,12,Digestive Marie Lite,snacks,30
1014,u1,31,Real Mango Juice 200ml,drinks,25
1014,u1,15,Dairy Milk Silk (60g),sweets,99
1014,u1,89,Lassi Pouch 200ml,drinks,20
1014,u1,19,Eclairs Toffee (10 pcs),sweets,10
1014,u1,10,Hide & Seek Biscuits,snacks,30
1015,u1,42,Amul Masti Dahi 200g,dairy,30
1015,u1,23,Milkybar (Small),sweets,20
1015,u1,43,Nestle Slim Milk 500ml,dairy,35
1015,u1,17,5 Star Chocolate,sweets,20
1016,u1,15,Dairy Milk Silk (60g),sweets,99
1016,u1,8,Bourbon Biscuits,snacks,20
1016,u1,100,Mixed Nuts 100g,snacks,99
1016,u1,22,Bounty Bar,sweets,50
1016,u1,4,Haldiram's Aloo Bhujia,snacks,30
1016,u1,2,Kurkure Masala Munch,snacks,20
1016,u1,4,Haldiram's Aloo Bhujia,snacks,30
1017,u1,50,MTR Poha Mix,instant,45
1017,u1,17,5 Star Chocolate,sweets,20
1017,u1,3,Bingo Mad Angles,snacks,20
1017,u1,14,Sunfeast Mom's Magic,snacks,20
1018,u1,23,Milkybar (Small),sweets,20
1018,u1,99,Roasted Peanuts 200g,snacks,40
1018,u1,85,Mentos Mint Roll,sweets,10
1018,u1,1,Lay's Classic Salted Chips,snacks,20
1018,u1,36,Paper Boat Aam Panna,drinks,30
1018,u1,33,Maaza 250ml,drinks,20
1019,u1,44,Go Cheese Spread,dairy,85
1019,u1,47,Knorr Soupy Noodles,instant,20
1019,u1,13,Dark Fantasy Choco Fills,snacks,40
1019,u1,11,Oreo Original,snacks,20
1019,u1,6,Pringles Original (Small),snacks,99
1019,u1,1,Lay's Classic Salted Chips,snacks,20
1019,u1,36,Paper Boat Aam Panna,drinks,30
1020,u1,99,Roasted Peanuts 200g,snacks,40
1020,u1,46,Yippee Noodles,instant,14
1020,u1,22,Bounty Bar,sweets,50
1020,u1,4,Haldiram's Aloo Bhujia,snacks,30
1020,u1,29,Sting Energy Drink,drinks,20
1021,u1,28,Red Bull 250ml,drinks,125
1021,u1,6,Pringles Original (Small),snacks,99
1021,u1,46,Yippee Noodles,instant,14
1021,u1,23,Milkybar (Small),sweets,20
1021,u1,48,Top Ramen Curry Noodles,instant,14
1021,u1,23,Milkybar (Small),sweets,20
1021,u1,1,Lay's Classic Salted Chips,snacks,20
1022,u1,20,Alpenliebe Lollipop,sweets,5
1022,u1,5,Too Yumm Multigrain Chips,snacks,20
1022,u1,14,Sunfeast Mom's Magic,snacks,20
1022,u1,100,Mixed Nuts 100g,snacks,99
1022,u1,52,Haldiram's Dal Makhani Ready,instant,85
1023,u1,3,Bingo Mad Angles,snacks,20
1023,u1,86,Center Fresh Gum (6 pcs),sweets,10
1023,u1,99,Roasted Peanuts 200g,snacks,40
1023,u1,4,Haldiram's Aloo Bhujia,snacks,30
1024,u1,65,Vaseline Petroleum Jelly 50ml,personal_care,80
1024,u1,100,Mixed Nuts 100g,snacks,99
1024,u1,23,Milkybar (Small),sweets,20
1024,u1,5,Too Yumm Multigrain Chips,snacks,20
1024,u1,32,Frooti 200ml,drinks,20
1024,u1,99,Roasted Peanuts 200g,snacks,40
1025,u1,10,Hide & Seek Biscuits,snacks,30
1025,u1,86,Center Fresh Gum (6 pcs),sweets,10
1025,u1,17,5 Star Chocolate,sweets,20
1025,u1,8,Bourbon Biscuits,snacks,20
1026,u1,45,Maggi 2-Minute Noodles,instant,14
1026,u1,34,Limca 250ml Can,drinks,40
1026,u1,36,Paper Boat Aam Panna,drinks,30
1026,u1,15,Dairy Milk Silk (60g),sweets,99
1026,u1,33,Maaza 250ml,drinks,20
1026,u1,14,Sunfeast Mom's Magic,snacks,20
1026,u1,88,Amul Kool Koko 200ml,drinks,25
1027,u1,5,Too Yumm Multigrain Chips,snacks,20
1027,u1,9,Good Day Cashew Cookies,snacks,30
